"Term","count.2013","pct.2013","count.2017","pct.2017","diff","pct.growth.rate"
"trainee web developer",3,7.89951812939411e-05,88,0.00551343900758098,0.00543444382628704,68.7946243969676
"bank",1,2.63317270979804e-05,15,0.000939790739928576,0.000913459012830596,34.6904329302675
"customer service support",1,2.63317270979804e-05,15,0.000939790739928576,0.000913459012830596,34.6904329302675
"cloud engineer",1,2.63317270979804e-05,12,0.000751832591942861,0.00072550086484488,27.552346344214
"trainee support technician",1,2.63317270979804e-05,12,0.000751832591942861,0.00072550086484488,27.552346344214
"devops engineer",7,0.000184322089685862,77,0.00482425913163336,0.00463993704194749,25.1729841488629
"information security analyst",1,2.63317270979804e-05,11,0.000689179875947622,0.000662848148849642,25.1729841488629
"net developer global",1,2.63317270979804e-05,10,0.000626527159952384,0.000600195432854404,22.7936219535117
"junior software engineer",1,2.63317270979804e-05,8,0.000501221727961907,0.000474890000863927,18.0348975628093
"automation test engineer",1,2.63317270979804e-05,7,0.000438569011966669,0.000412237284868688,15.6555353674582
"junior network engineer",1,2.63317270979804e-05,7,0.000438569011966669,0.000412237284868688,15.6555353674582
"scrum",3,7.89951812939411e-05,18,0.00112774888791429,0.00104875370662035,13.276173172107
"junior php developer",2,5.26634541959607e-05,12,0.000751832591942861,0.0006991691377469,13.276173172107
"contract java developer",1,2.63317270979804e-05,6,0.00037591629597143,0.00034958456887345,13.276173172107
"senior enterprise architect",1,2.63317270979804e-05,6,0.00037591629597143,0.00034958456887345,13.276173172107
"security",2,5.26634541959607e-05,11,0.000689179875947622,0.000636516421751662,12.0864920744314
"front end developer html",2,5.26634541959607e-05,10,0.000626527159952384,0.000573863705756423,10.8968109767558
"field support engineer",1,2.63317270979804e-05,5,0.000313263579976192,0.000286931852878212,10.8968109767558
"microsoft developer",1,2.63317270979804e-05,5,0.000313263579976192,0.000286931852878212,10.8968109767558
"php developer lamp",1,2.63317270979804e-05,5,0.000313263579976192,0.000286931852878212,10.8968109767558
"process analyst",1,2.63317270979804e-05,5,0.000313263579976192,0.000286931852878212,10.8968109767558
"senior digital design engineer",1,2.63317270979804e-05,5,0.000313263579976192,0.000286931852878212,10.8968109767558
