"Term","count.2013","pct.2013","count.2017","pct.2017","diff","pct.growth.rate"
"permanent",1,4.72299626883295e-05,26,0.00137253866863749,0.00132530870594916,28.0607612310616
"permanent purchase ledger clerk",1,4.72299626883295e-05,20,0.00105579897587499,0.00100856901318666,21.3544317162012
"business semi senior",1,4.72299626883295e-05,12,0.000633479385524996,0.000586249422836667,12.4126590297207
"temporary finance assistant",1,4.72299626883295e-05,12,0.000633479385524996,0.000586249422836667,12.4126590297207
"temporary finance manager",1,4.72299626883295e-05,12,0.000633479385524996,0.000586249422836667,12.4126590297207
"temporary assistant",4,0.000188919850753318,38,0.00200601805416249,0.00181709820340917,9.61835506519559
"customer service assistant",1,4.72299626883295e-05,9,0.000475109539143747,0.000427879576455418,9.05949427229056
"bookkeeper part time",1,4.72299626883295e-05,8,0.000422319590349997,0.000375089627661668,7.94177268648049
"assistant purchase ledger",1,4.72299626883295e-05,7,0.000369529641556248,0.000322299678867918,6.82405110067043
"interim finance business partner",1,4.72299626883295e-05,7,0.000369529641556248,0.000322299678867918,6.82405110067043
"management accountant retail",1,4.72299626883295e-05,7,0.000369529641556248,0.000322299678867918,6.82405110067043
"team assistant",1,4.72299626883295e-05,7,0.000369529641556248,0.000322299678867918,6.82405110067043
"temporary payable clerk",1,4.72299626883295e-05,7,0.000369529641556248,0.000322299678867918,6.82405110067043
"junior accountant",4,0.000188919850753318,26,0.00137253866863749,0.00118361881788417,6.2651903077654
"commercial insurance account executive",1,4.72299626883295e-05,6,0.000316739692762498,0.000269509730074169,5.70632951486037
"head compliance risk",1,4.72299626883295e-05,6,0.000316739692762498,0.000269509730074169,5.70632951486037
"protection advisor",1,4.72299626883295e-05,6,0.000316739692762498,0.000269509730074169,5.70632951486037
"senior accountancy firm",1,4.72299626883295e-05,6,0.000316739692762498,0.000269509730074169,5.70632951486037
"senior practice",1,4.72299626883295e-05,6,0.000316739692762498,0.000269509730074169,5.70632951486037
"interim management accountant",3,0.000141689888064988,18,0.000950219078287494,0.000808529190222506,5.70632951486037
"temporary purchase ledger clerk",3,0.000141689888064988,18,0.000950219078287494,0.000808529190222506,5.70632951486037
"audit senior top firm",2,9.4459925376659e-05,11,0.000580689436731246,0.000486229511354587,5.14746872195534
"commercial property",2,9.4459925376659e-05,11,0.000580689436731246,0.000486229511354587,5.14746872195534
"equity advisor",2,9.4459925376659e-05,11,0.000580689436731246,0.000486229511354587,5.14746872195534
"part time credit controller",2,9.4459925376659e-05,11,0.000580689436731246,0.000486229511354587,5.14746872195534
"temporary management accountant",2,9.4459925376659e-05,11,0.000580689436731246,0.000486229511354587,5.14746872195534
"semi senior accountant",8,0.000377839701506636,40,0.00211159795174999,0.00173375825024335,4.58860792905031
"bookkeeper firm",1,4.72299626883295e-05,5,0.000263949743968748,0.000216719781280419,4.58860792905031
"client manager accountancy practice",1,4.72299626883295e-05,5,0.000263949743968748,0.000216719781280419,4.58860792905031
"corporate finance analyst",1,4.72299626883295e-05,5,0.000263949743968748,0.000216719781280419,4.58860792905031
"credit controller start",1,4.72299626883295e-05,5,0.000263949743968748,0.000216719781280419,4.58860792905031
